"Start","Stop"
20 Sep 2001 00:00:00.00,27 Sep 2001 00:00:00.00
"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
26 Sep 2001 23:11:41.68,241.175,-42.000,655.986205

"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
21 Sep 2001 07:37:23.52,4.508,-42.000,623.336925
21 Sep 2001 07:38:23.00,16.905,-85.485,401.573637
21 Sep 2001 07:39:23.00,182.581,-45.525,579.018101
21 Sep 2001 07:39:30.93,182.709,-42.000,623.336924
21 Sep 2001 19:16:35.31,288.544,-42.000,623.336925
21 Sep 2001 19:17:07.05,258.974,-43.801,599.497529
21 Sep 2001 19:17:23.39,244.255,-42.000,623.336925
23 Sep 2001 07:30:49.07,28.030,-42.000,623.336927
23 Sep 2001 07:31:49.00,97.707,-64.533,446.525819
23 Sep 2001 07:32:45.15,159.190,-42.000,623.336926
25 Sep 2001 07:24:29.60,57.805,-42.000,623.336924
25 Sep 2001 07:25:29.00,116.713,-45.342,581.099178
25 Sep 2001 07:25:44.26,129.416,-42.000,623.336926
26 Sep 2001 19:45:28.59,49.350,-42.000,623.336924
26 Sep 2001 19:46:28.00,108.781,-45.909,574.742758
26 Sep 2001 19:46:45.46,123.430,-42.000,623.336926

"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
20 Sep 2001 04:07:45.43,2.659,-42.000,651.951017
20 Sep 2001 04:08:45.00,12.411,-82.616,421.486967
20 Sep 2001 04:09:45.00,179.892,-48.371,574.222033
20 Sep 2001 04:09:59.26,180.223,-42.000,651.951020
20 Sep 2001 18:13:58.26,357.136,-42.000,651.951020
20 Sep 2001 18:14:58.00,345.579,-82.718,421.383458
20 Sep 2001 18:15:58.00,180.353,-48.292,575.021802
20 Sep 2001 18:16:12.10,179.975,-42.000,651.951017
21 Sep 2001 04:51:15.32,287.522,-42.000,651.951017
21 Sep 2001 04:51:39.78,266.311,-42.930,638.627966
21 Sep 2001 04:51:52.49,255.481,-42.000,651.951018
21 Sep 2001 18:57:08.37,63.606,-42.000,651.951018
21 Sep 2001 18:57:45.70,97.172,-44.311,620.230256
21 Sep 2001 18:58:04.92,113.709,-42.000,651.951019
22 Sep 2001 04:01:05.20,11.332,-42.000,651.951019
22 Sep 2001 04:02:05.00,63.500,-77.297,428.960554
22 Sep 2001 04:03:05.00,169.381,-47.137,587.067333
22 Sep 2001 04:03:16.99,171.523,-42.000,651.951016
22 Sep 2001 18:07:17.66,348.330,-42.000,651.951016
22 Sep 2001 18:08:17.00,297.607,-76.787,429.901324
22 Sep 2001 18:09:17.00,191.078,-47.377,584.499111
22 Sep 2001 18:09:29.52,188.756,-42.000,651.951015
23 Sep 2001 04:44:10.94,307.992,-42.000,651.951017
23 Sep 2001 04:45:10.00,252.072,-46.235,597.051567
23 Sep 2001 04:45:30.95,234.998,-42.000,651.951015
23 Sep 2001 18:50:13.59,48.455,-42.000,651.951017
23 Sep 2001 18:51:13.00,106.375,-47.870,579.325002
23 Sep 2001 18:51:39.78,128.823,-42.000,651.951016
24 Sep 2001 03:54:26.80,20.151,-42.000,651.951015
24 Sep 2001 03:55:26.00,80.574,-69.315,448.658243
24 Sep 2001 03:56:26.00,160.395,-44.908,612.750710
24 Sep 2001 03:56:33.42,162.674,-42.000,651.951015
24 Sep 2001 18:00:38.46,339.200,-42.000,651.951016
24 Sep 2001 18:01:38.00,278.099,-68.824,450.241948
24 Sep 2001 18:02:38.00,200.056,-44.714,615.148648
24 Sep 2001 18:02:45.00,197.864,-42.000,651.951017
25 Sep 2001 04:37:17.05,321.150,-42.000,651.951016
25 Sep 2001 04:38:17.00,260.113,-53.084,532.580772
25 Sep 2001 04:38:59.47,221.825,-42.000,651.951020
25 Sep 2001 18:43:24.06,36.939,-42.000,651.951016
25 Sep 2001 18:44:24.00,98.920,-54.312,523.382202
25 Sep 2001 18:45:08.89,140.302,-42.000,651.951018
26 Sep 2001 03:47:50.36,29.358,-42.000,651.951018
26 Sep 2001 03:48:50.00,92.528,-61.690,479.125663
26 Sep 2001 03:49:48.41,153.436,-42.000,651.951017
26 Sep 2001 17:54:00.95,329.454,-42.000,651.951020
26 Sep 2001 17:55:00.00,267.838,-60.853,483.321138
26 Sep 2001 17:55:58.26,207.590,-42.000,651.951020


"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
20 Sep 2001 02:55:56.14,3.400,-42.000,632.826601
20 Sep 2001 02:56:56.00,55.296,-81.299,411.100125
20 Sep 2001 02:57:56.00,169.458,-45.859,583.948836
20 Sep 2001 02:58:04.84,170.474,-42.000,632.826601
21 Sep 2001 13:59:10.25,82.194,-42.000,632.826599
21 Sep 2001 13:59:26.23,96.463,-42.425,626.855067
21 Sep 2001 13:59:34.59,103.870,-42.000,632.826597
22 Sep 2001 02:49:16.69,344.207,-42.000,632.826598
22 Sep 2001 02:50:16.00,282.298,-75.218,420.900893
22 Sep 2001 02:51:16.00,191.204,-44.997,593.881809
22 Sep 2001 02:51:23.14,189.648,-42.000,632.826597
24 Sep 2001 02:42:44.98,323.292,-42.000,632.826598
24 Sep 2001 02:43:44.00,259.039,-57.424,488.316608
24 Sep 2001 02:44:33.06,210.547,-42.000,632.826596
24 Sep 2001 14:34:32.27,310.860,-42.000,632.826597
